"756";"Cy";"m"
"757";"Cyril";"m"
"758";"Cyrill";"m"
"759";"Cyrille";"m"
"760";"Cyrillus";"m"
"761";"Cyrus";"m"
"762";"D'arcy";"m"
"763";"Dag";"m"
"764";"Dagny";"m"
"765";"Dal";"m"
"766";"Dalis";"m"
"767";"Dall";"m"
"768";"Dalli";"m"
"769";"Dallis";"m"
"770";"Dallon";"m"
"771";"Dalston";"m"
"772";"Dalt";"m"
"773";"Dalton";"m"
"774";"Dame";"m"
"775";"Damian";"m"
"776";"Damiano";"m"
"777";"Damien";"m"
"778";"Damon";"m"
"779";"Dan";"m"
"780";"Dane";"m"
"781";"Danie";"m"
"782";"Daniel";"m"
"783";"Dannel";"m"
"784";"Dante";"m"
"785";"Dar";"m"
"786";"Darbee";"m"
"787";"Dare";"m"
"788";"Daren";"m"
"789";"Darill";"m"
"790";"Darin";"m"
"791";"Dario";"m"
"792";"Darius";"m"
"793";"Darn";"m"
"794";"Darnall";"m"
"795";"Darnell";"m"
"796";"Darrel";"m"
"797";"Darrell";"m"
"798";"Darren";"m"
"799";"Darrick";"m"
"800";"Darrin";"m"
"801";"Darwin";"m"
"802";"Daryle";"m"
"803";"Dav";"m"
"804";"Dave";"m"
"805";"Daven";"m"
"806";"Davey";"m"
"807";"David";"m"
"808";"Davidde";"m"
"809";"Davide";"m"
"810";"Davidson";"m"
"811";"Davie";"m"
"812";"Davin";"m"
"813";"Davis";"m"
"814";"Davon";"m"
"815";"Davy";"m"
"816";"De witt";"m"
"817";"Dean";"m"
"818";"Decca";"m"
"819";"Deck";"m"
"820";"Delainey";"m"
"821";"Delaney";"m"
"822";"Delano";"m"
"823";"Delbert";"m"
"824";"Delmar";"m"
"825";"Delmer";"m"
"826";"Delmor";"m"
"827";"Delmore";"m"
"828";"Demetre";"m"
"829";"Demetri";"m"
"830";"Demetrius";"m"
"831";"Demott";"m"
"832";"Den";"m"
"833";"Dene";"m"
"834";"Denis";"m"
"835";"Dennet";"m"
"836";"Denney";"m"
"837";"Dennis";"m"
"838";"Dennison";"m"
"839";"Denver";"m"
"840";"Der";"m"
"841";"Derby";"m"
"842";"Derek";"m"
"843";"Derick";"m"
"844";"Derk";"m"
"845";"Dermot";"m"
"846";"Derrek";"m"
"847";"Derrick";"m"
"848";"Derrik";"m"
"849";"Derril";"m"
"850";"Derron";"m"
"851";"Derry";"m"
"852";"Derward";"m"
"853";"Derwin";"m"
"854";"Des";"m"
"855";"Desi";"m"
"856";"Desmond";"m"
"857";"Desmund";"m"
"858";"Dev";"m"
"859";"Devland";"m"
"860";"Devlen";"m"
"861";"Devlin";"m"
"862";"Devy";"m"
"863";"Dew";"m"
"864";"Dewain";"m"
"865";"Dewey";"m"
"866";"Dewie";"m"
"867";"Dewitt";"m"
"868";"Dex";"m"
"869";"Dexter";"m"
"870";"Diarmid";"m"
"871";"Dick";"m"
"872";"Dickie";"m"
"873";"Dicky";"m"
"874";"Diego";"m"
"875";"Dieter";"m"
"876";"Dietrich";"m"
"877";"Dilan";"m"
"878";"Dill";"m"
"879";"Dillie";"m"
"880";"Dillon";"m"
"881";"Dilly";"m"
"882";"Dimitri";"m"
"883";"Dimitry";"m"
"884";"Dino";"m"
"885";"Dionisio";"m"
"886";"Dionysus";"m"
"887";"Dirk";"m"
"888";"Dmitri";"m"
"889";"Dolf";"m"
"890";"Dolph";"m"
"891";"Dom";"m"
"892";"Domenic";"m"
"893";"Domenico";"m"
"894";"Domingo";"m"
"895";"Dominic";"m"
"896";"Dominick";"m"
"897";"Dominik";"m"
"898";"Don";"m"
"899";"Donal";"m"
"900";"Donall";"m"
"901";"Donalt";"m"
"902";"Donaugh";"m"
"903";"Donavon";"m"
"904";"Donn";"m"
"905";"Donnell";"m"
"906";"Donovan";"m"
"907";"Doug";"m"
"908";"Dougie";"m"
"909";"Douglas";"m"
"910";"Douglass";"m"
"911";"Dougy";"m"
"912";"Dov";"m"
"913";"Doy";"m"
"914";"Doyle";"m"
"915";"Drake";"m"
"916";"Drew";"m"
"917";"Drud";"m"
"918";"Drugi";"m"
"919";"Duane";"m"
"920";"Dud";"m"
"921";"Dudley";"m"
"922";"Duff";"m"
"923";"Duffie";"m"
"924";"Duffy";"m"
"925";"Dugald";"m"
"926";"Duke";"m"
"927";"Dukey";"m"
"928";"Dukie";"m"
"929";"Duky";"m"
"930";"Dun";"m"
"931";"Dunc";"m"
"932";"Duncan";"m"
"933";"Dunn";"m"
"934";"Dunstan";"m"
"935";"Dur";"m"
"936";"Durand";"m"
"937";"Durant";"m"
"938";"Durante";"m"
"939";"Durward";"m"
"940";"Dwain";"m"
"941";"Dwayne";"m"
"942";"Dwight";"m"
"943";"Dylan";"m"
"944";"Eadmund";"m"
"945";"Eal";"m"
"946";"Eamon";"m"
"947";"Earl";"m"
"948";"Earle";"m"
"949";"Earlie";"m"
"950";"Early";"m"
"951";"Earvin";"m"
"952";"Eb";"m"
"953";"Eben";"m"
"954";"Ebeneser";"m"
"955";"Ebenezer";"m"
"956";"Eberhard";"m"
"957";"Eberto";"m"
"958";"Ed";"m"
"959";"Edan";"m"
"960";"Edd";"m"
"961";"Edgar";"m"
"962";"Edgard";"m"
"963";"Edgardo";"m"
"964";"Edik";"m"
"965";"Edlin";"m"
"966";"Edmon";"m"
"967";"Edmund";"m"
"968";"Edouard";"m"
"969";"Edsel";"m"
"970";"Eduard";"m"
"971";"Eduardo";"m"
"972";"Eduino";"m"
"973";"Edvard";"m"
"974";"Edward";"m"
"975";"Edwin";"m"
"976";"Efrem";"m"
"977";"Efren";"m"
"978";"Egan";"m"
"979";"Egbert";"m"
"980";"Egon";"m"
"981";"Egor";"m"
"982";"El";"m"
"983";"Elbert";"m"
"984";"Elden";"m"
"985";"Eldin";"m"
"986";"Eldon";"m"
"987";"Eldredge";"m"
"988";"Eldridge";"m"
"989";"Eli";"m"
"990";"Elia";"m"
"991";"Elias";"m"
"992";"Elihu";"m"
"993";"Elijah";"m"
"994";"Eliot";"m"
"995";"Ellary";"m"
"996";"Ellerey";"m"
"997";"Ellery";"m"
"998";"Elliot";"m"
"999";"Elliott";"m"
"1000";"Ellis";"m"
"1001";"Ellswerth";"m"
"1002";"Ellsworth";"m"
"1003";"Ellwood";"m"
"1004";"Elmer";"m"
"1005";"Elmo";"m"
"1006";"Elmore";"m"
"1007";"Elnar";"m"
"1008";"Elroy";"m"
"1009";"Elston";"m"
"1010";"Elsworth";"m"
"1011";"Elton";"m"
"1012";"Elvin";"m"
"1013";"Elvis";"m"
"1014";"Elvyn";"m"
"1015";"Elwin";"m"
"1016";"Elwood";"m"
"1017";"Elwyn";"m"
"1018";"Ely";"m"
"1019";"Emanuel";"m"
"1020";"Emanuele";"m"
"1021";"Emelen";"m"
"1022";"Emerson";"m"
"1023";"Emery";"m"
"1024";"Emile";"m"
"1025";"Emilio";"m"
"1026";"Emlen";"m"
"1027";"Emmanuel";"m"
"1028";"Emmerich";"m"
"1029";"Emmery";"m"
"1030";"Emmet";"m"
"1031";"Emmett";"m"
"1032";"Emmit";"m"
"1033";"Emmott";"m"
"1034";"Emory";"m"
"1035";"Engelbert";"m"
"1036";"Englebert";"m"
"1037";"Ennis";"m"
"1038";"Enoch";"m"
"1039";"Enos";"m"
"1040";"Enrico";"m"
"1041";"Enrique";"m"
"1042";"Ephraim";"m"
"1043";"Ephrayim";"m"
"1044";"Ephrem";"m"
"1045";"Erasmus";"m"
"1046";"Erastus";"m"
"1047";"Erek";"m"
"1048";"Erhard";"m"
"1049";"Erhart";"m"
"1050";"Eric";"m"
"1051";"Erich";"m"
"1052";"Erick";"m"
"1053";"Erie";"m"
"1054";"Erik";"m"
"1055";"Erl";"m"
"1056";"Ermanno";"m"
"1057";"Ermin";"m"
"1058";"Ernest";"m"
"1059";"Ernesto";"m"
"1060";"Ernestus";"m"
"1061";"Ernie";"m"
"1062";"Ernst";"m"
"1063";"Erny";"m"
"1064";"Errick";"m"
"1065";"Errol";"m"
"1066";"Erroll";"m"
"1067";"Erskine";"m"
"1068";"Erv";"m"
"1069";"Ervin";"m"
"1070";"Erwin";"m"
"1071";"Esdras";"m"
"1072";"Esra";"m"
"1073";"Esteban";"m"
"1074";"Estevan";"m"
"1075";"Etan";"m"
"1076";"Ethan";"m"
"1077";"Ethe";"m"
"1078";"Ethelbert";"m"
"1079";"Ethelred";"m"
"1080";"Etienne";"m"
"1081";"Ettore";"m"
"1082";"Euell";"m"
"1083";"Eugen";"m"
"1084";"Eugene";"m"
"1085";"Eugenio";"m"
"1086";"Eugenius";"m"
"1087";"Eustace";"m"
"1088";"Ev";"m"
